Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
SYT8	RP11-514P8.6	SYT8			ADAMTS15		SLC30A8			SCN7A
HORMAD1	ROPN1B	HORMAD1			KCND3		IL20RA			KCND3
JSRP1	TNNT2	JSRP1			PRSS21		CLIC6			PRSS21
GAL	COL2A1	GAL			AFF3		SLITRK6			IL20RA
C1orf106	CDKN2A	C1orf106			SLC30A8		CEACAM5			PTPRT
MUC16	GAL	MUC16			IL20RA		DACH1			AFF3
CDKN2A	HORMAD1	CDKN2A			CLIC6		AGTR1			CEACAM5
C2orf82	C1orf106	C2orf82			SLITRK6		TMC5			SLITRK6
CRABP1	MKRN3	CRABP1			CEACAM5		ST8SIA6			DACH1
TTYH1	CTB-134H23.2	TTYH1			DACH1		SERPINA6			CLIC6
RP11-514P8.6	LIME1	RP11-514P8.6			AGTR1		BMPR1B			TMC5
MKRN3	C4orf48	MKRN3			TMC5		GRPR			ST8SIA6
COL11A2	SYT8	COL11A2			ST8SIA6		CLSTN2			AGTR1
LIME1	C2orf82	LIME1			SERPINA6		TTC6			SERPINA6
POMC	TTYH1	POMC			BMPR1B		CA12			CA12
SLC15A1	AC120194.1	SLC15A1			GRPR		AR			TTC6
CTB-134H23.2	GSDMC	CTB-134H23.2			CLSTN2		SLC44A4			BMPR1B
LTB	COL11A2	LTB			TTC6		FOXA1			CLSTN2
KRT86	APOC4-APOC2	KRT86			CA12		ERBB4			AR
RETN	MUC16	RETN			AR		SCUBE2			FOXA1
SLC22A16	POMC	SLC22A16			SLC44A4		C1orf64			GRPR
COL2A1	KRT86	COL2A1			FOXA1		RP11-598P20.5			SLC44A4
GSDMC	RETN	GSDMC			ERBB4		CST5			ERBB4
AC020907.1	VGF	AC020907.1			SCUBE2		SYT9			CST5
NMU	MXD3	NMU			C1orf64		LRRC31			SCUBE2
SPIB	AC020907.1	SPIB			RP11-598P20.5		HMGCS2			HMGCS2
C4orf48	SLC22A16	C4orf48			CST5		TFF3			C1orf64
AC120194.1	SLC15A1	AC120194.1			SYT9		SLC7A2			CYP4Z1
APOC4-APOC2	LTB	APOC4-APOC2			LRRC31		NAT1			SYT9
MXD3	IVL	MXD3			HMGCS2		CST1			RP11-598P20.5
PKP1	C6orf100	PKP1			TFF3		CYP4Z1			PIP
RHCG	AC026740.1	RHCG			SLC7A2		PGR			LRRC31
LAIR2	NMU	LAIR2			NAT1		AGR2			AGR2
	LAIR2				CST1		PIP			TFF3
	PKP1				CYP4Z1		SERPINA11			NAT1
	TPGS1				PGR		GFRA1			CST1
	PGLYRP4				AGR2		ATP1A4			PGR
	AURKB				PIP		SCGB1D2			SERPINA11
	UPK3B				SERPINA11		ESR1			GFRA1
	A2ML1				GFRA1		CST2			SLC7A2
	SPIB				ATP1A4		GP2			ATP1A4
	SBSN				SCGB1D2		CPB1			ESR1
	EXOC3L4				ESR1		AGR3			SCGB1D2
	RHCG				CST2		SCGB2A2			GP2
	TCAP				GP2		TFF1			CST2
	CLDN23				CPB1		AL022328.1			CPB1
	ENHO				AGR3					AGR3
	BAIAP2L2				SCGB2A2					SCGB2A2
	CTC-360G5.1				TFF1					TFF1
	HPDL				AL022328.1					AL022328.1
